num_blocks,config,run,success,iterations
3,baseline,0,True,17
3,baseline,1,True,4
3,baseline,2,True,2
3,baseline,3,True,2
3,baseline,4,True,3
3,baseline,5,True,4
3,baseline,6,True,2
3,baseline,7,True,17
3,baseline,8,False,25
3,baseline,9,True,2
3,enhanced,0,True,14
3,enhanced,1,True,2
3,enhanced,2,True,2
3,enhanced,3,True,5
3,enhanced,4,True,3
3,enhanced,5,True,2
3,enhanced,6,True,7
3,enhanced,7,True,17
3,enhanced,8,True,2
3,enhanced,9,True,5
4,baseline,0,True,1
4,baseline,1,True,1
4,baseline,2,True,1
4,baseline,3,True,1
4,baseline,4,True,1
4,baseline,5,True,1
4,baseline,6,True,1
4,baseline,7,True,2
4,baseline,8,True,1
4,baseline,9,True,2
4,enhanced,0,True,1
4,enhanced,1,True,1
4,enhanced,2,True,1
4,enhanced,3,True,1
4,enhanced,4,True,1
4,enhanced,5,True,1
4,enhanced,6,True,1
4,enhanced,7,True,1
4,enhanced,8,True,1
4,enhanced,9,True,1
5,baseline,0,True,1
5,baseline,1,True,1
5,baseline,2,True,1
5,baseline,3,True,1
5,baseline,4,True,1
5,baseline,5,True,2
5,baseline,6,True,1
5,baseline,7,True,1
5,baseline,8,True,1
5,baseline,9,True,1
5,enhanced,0,True,1
5,enhanced,1,True,1
5,enhanced,2,True,2
5,enhanced,3,True,1
5,enhanced,4,True,1
5,enhanced,5,True,1
5,enhanced,6,True,1
5,enhanced,7,True,1
5,enhanced,8,True,1
5,enhanced,9,True,1
